,id_student,code_module,code_presentation,total_click,active_days,last_login_day,avg_click_per_day,days_since_last_login,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,late_registration,active_duration,withdrew,score_mean,score_min,score_max,score_std,id_assessment_count,is_banked_mean
16,26023,GGG,2013J,88,11,13,8.0,1,M,North Western Region,Lower Than A Level,2.0,35-55,0,30,N,Pass,-37.0,,0,0,0,88.0,53.0,100.0,18.703125,9.0,0.0
17,26192,AAA,2014J,495,16,10,30.9375,4,F,East Anglian Region,A Level or Equivalent,7.0,35-55,0,60,N,Distinction,-38.0,,0,0,0,86.1875,83.0,88.0,2.1679688,5.0,0.0
18,26211,FFF,2014B,1206,27,14,44.65625,0,F,London Region,HE Qualification,3.0,35-55,0,90,N,Pass,-25.0,,1,0,0,89.25,68.0,99.0,9.453125,12.0,0.0
19,26247,FFF,2013J,220,10,5,22.0,9,M,South East Region,HE Qualification,9.0,35-55,2,60,N,Fail,-47.0,,0,0,0,88.0,88.0,88.0,,1.0,0.0
20,26315,BBB,2014J,313,15,14,20.859375,0,F,East Anglian Region,Lower Than A Level,7.0,35-55,1,60,N,Pass,-92.0,,0,0,0,51.40625,1.0,72.0,28.5625,5.0,0.0
21,26734,BBB,2014J,85,8,10,10.625,4,M,South West Region,A Level or Equivalent,3.0,0-35,0,90,Y,Fail,-101.0,,0,0,0,74.3125,61.0,100.0,22.234375,3.0,0.0
22,26915,EEE,2013J,60,6,10,10.0,4,M,Wales,Lower Than A Level,1.0,35-55,0,30,N,Fail,-61.0,,0,0,0,,,,,,
23,27116,CCC,2014J,258,16,14,16.125,0,M,Yorkshire Region,HE Qualification,8.0,0-35,0,120,N,Distinction,-156.0,,0,0,0,93.3125,84.0,100.0,5.0234375,9.0,0.0
24,27189,FFF,2014B,199,3,11,66.3125,3,F,South Region,Lower Than A Level,2.0,35-55,0,120,N,Fail,-65.0,,0,0,0,52.0,16.0,69.0,15.546875,12.0,0.0
25,27417,DDD,2013J,43,4,10,10.75,4,M,South West Region,Lower Than A Level,7.0,0-35,0,60,N,Withdrawn,-74.0,208.0,0,282,1,50.625,6.0,80.0,21.34375,8.0,0.0
26,27417,DDD,2014J,22,4,9,5.5,5,M,South West Region,Lower Than A Level,7.0,0-35,1,60,N,Withdrawn,-131.0,162.0,0,293,1,50.625,6.0,80.0,21.34375,8.0,0.0
27,27683,FFF,2014B,39,7,12,5.5703125,2,M,London Region,HE Qualification,4.0,0-35,0,60,N,Pass,-24.0,,1,0,0,82.0625,63.0,98.0,11.78125,12.0,0.0
28,27759,BBB,2013J,110,9,12,12.21875,2,M,North Western Region,Lower Than A Level,5.0,35-55,0,120,Y,Fail,-43.0,,0,0,0,76.0625,48.0,100.0,20.484375,11.0,0.0
29,27780,EEE,2014B,48,6,13,8.0,1,M,Wales,A Level or Equivalent,2.0,0-35,0,150,N,Pass,-23.0,,1,0,0,60.0,57.0,65.0,4.359375,3.0,0.0
30,27891,BBB,2013B,158,6,10,26.328125,4,M,Scotland,Lower Than A Level,1.0,0-35,2,120,Y,Withdrawn,-58.0,153.0,0,211,1,69.1875,55.0,100.0,15.6015625,12.0,0.5
31,27891,BBB,2014B,12,1,0,12.0,14,M,Scotland,Lower Than A Level,1.0,0-35,4,120,Y,Fail,-191.0,,0,0,0,69.1875,55.0,100.0,15.6015625,12.0,0.5
32,27935,DDD,2013J,227,8,14,28.375,0,F,East Anglian Region,Lower Than A Level,4.0,0-35,0,60,Y,Fail,-134.0,,0,0,0,75.25,63.0,90.0,11.1484375,4.0,0.0
33,28046,DDD,2013J,77,7,12,11.0,2,F,Yorkshire Region,HE Qualification,2.0,35-55,0,70,N,Fail,-190.0,,0,0,0,49.4375,24.0,69.0,14.4296875,7.0,0.0
34,28061,AAA,2014J,407,21,14,19.375,0,M,Yorkshire Region,Lower Than A Level,5.0,35-55,0,60,N,Pass,-130.0,,0,0,0,77.625,71.0,82.0,4.3945312,5.0,0.0
35,28400,AAA,2013J,456,14,8,32.5625,6,F,Scotland,HE Qualification,3.0,35-55,0,60,N,Pass,-53.0,,0,0,0,66.375,60.0,70.0,4.3359375,5.0,0.0
36,28418,CCC,2014B,74,4,14,18.5,0,F,West Midlands Region,A Level or Equivalent,3.0,0-35,0,30,N,Fail,-37.0,,0,0,0,31.5,30.0,33.0,2.1210938,2.0,0.0
37,28787,CCC,2014J,108,9,14,12.0,0,M,South East Region,Lower Than A Level,9.0,35-55,0,60,N,Pass,-29.0,,1,0,0,53.59375,21.0,89.0,24.75,5.0,0.0
38,28808,FFF,2014B,95,7,14,13.5703125,0,F,South Region,A Level or Equivalent,10.0,0-35,0,60,N,Fail,-120.0,,0,0,0,70.0,60.0,80.0,14.140625,2.0,0.0
39,28897,FFF,2014B,413,13,14,31.765625,0,M,South West Region,A Level or Equivalent,2.0,0-35,0,120,N,Distinction,-136.0,,0,0,0,71.3125,47.0,92.0,16.390625,12.0,0.0
40,28952,CCC,2014J,46,3,6,15.3359375,8,F,Yorkshire Region,Lower Than A Level,7.0,0-35,0,60,N,Withdrawn,-50.0,12.0,0,62,1,59.5,52.0,67.0,10.609375,2.0,0.0
41,29144,BBB,2013B,138,6,6,23.0,8,M,South Region,Lower Than A Level,7.0,0-35,0,120,N,Fail,-24.0,,1,0,0,73.25,55.0,100.0,16.953125,9.0,0.0
42,29335,FFF,2013J,598,18,14,33.21875,0,M,West Midlands Region,Lower Than A Level,5.0,0-35,0,60,N,Distinction,-31.0,,0,0,0,92.0625,86.0,97.0,3.8710938,12.0,0.0
43,29411,CCC,2014J,129,10,11,12.8984375,3,M,East Midlands Region,A Level or Equivalent,9.0,0-35,0,150,N,Withdrawn,-135.0,100.0,0,235,1,59.21875,0.0,93.0,31.828125,9.0,0.0
44,29411,DDD,2013J,88,13,13,6.7695312,1,M,East Midlands Region,A Level or Equivalent,9.0,0-35,0,60,N,Pass,-96.0,,0,0,0,59.21875,0.0,93.0,31.828125,9.0,0.0
45,29420,CCC,2014J,64,7,14,9.140625,0,M,Wales,A Level or Equivalent,8.0,0-35,0,30,N,Pass,-14.0,,1,0,0,75.25,54.0,100.0,19.921875,8.0,0.0
46,29639,CCC,2014J,1083,26,14,41.65625,0,M,North Region,Lower Than A Level,,0-35,0,30,N,Pass,-24.0,,1,0,0,83.75,67.0,94.0,8.796875,13.0,0.0
47,29639,EEE,2014B,654,30,14,21.796875,0,M,North Region,Lower Than A Level,,0-35,0,30,N,Pass,-26.0,,1,0,0,83.75,67.0,94.0,8.796875,13.0,0.0
48,29764,CCC,2014B,160,9,13,17.78125,1,M,East Anglian Region,A Level or Equivalent,6.0,0-35,0,90,N,Distinction,-34.0,,0,0,0,89.3125,83.0,97.0,5.0507812,9.0,0.0
49,29769,FFF,2013J,307,17,14,18.0625,0,M,East Midlands Region,A Level or Equivalent,5.0,0-35,1,60,N,Fail,-32.0,,0,0,0,77.5,60.0,95.0,16.859375,6.0,0.0
50,29820,CCC,2014B,125,16,12,7.8125,2,M,East Anglian Region,HE Qualification,5.0,0-35,0,60,N,Pass,-57.0,,0,0,0,80.625,60.0,100.0,11.6953125,13.0,0.0
51,29820,EEE,2014B,211,13,12,16.234375,2,M,East Anglian Region,HE Qualification,5.0,0-35,0,60,N,Pass,-57.0,,0,0,0,80.625,60.0,100.0,11.6953125,13.0,0.0
52,29985,GGG,2014B,49,5,13,9.796875,1,F,South Region,Lower Than A Level,3.0,0-35,0,30,N,Pass,-93.0,,0,0,0,71.875,0.0,100.0,31.421875,9.0,0.0
53,30091,BBB,2013J,197,5,7,39.40625,7,F,South West Region,A Level or Equivalent,2.0,0-35,0,60,Y,Pass,-145.0,,0,0,0,88.0,72.0,100.0,12.8125,10.0,0.0
54,30096,CCC,2014J,282,13,13,21.6875,1,M,East Anglian Region,HE Qualification,10.0,0-35,0,60,N,Distinction,-22.0,,1,0,0,93.5625,79.0,100.0,6.40625,9.0,0.0
55,30268,AAA,2013J,281,12,12,23.421875,2,F,North Western Region,A Level or Equivalent,4.0,35-55,0,60,Y,Withdrawn,-92.0,12.0,0,104,1,,,,,,
56,30531,FFF,2014B,326,14,14,23.28125,0,M,East Anglian Region,Lower Than A Level,6.0,0-35,1,180,N,Fail,-137.0,,0,0,0,87.25,83.0,92.0,3.7753906,4.0,0.0
57,30549,DDD,2013J,28,3,3,9.3359375,11,M,South East Region,A Level or Equivalent,1.0,35-55,2,60,N,Fail,-102.0,,0,0,0,35.0,35.0,35.0,,1.0,0.0
58,30850,CCC,2014J,489,15,10,32.59375,4,F,Scotland,HE Qualification,7.0,35-55,0,120,N,Distinction,-56.0,,0,0,0,99.3125,96.0,100.0,1.3232422,9.0,0.0
59,31014,BBB,2013J,277,13,14,21.3125,0,F,West Midlands Region,Lower Than A Level,9.0,35-55,0,120,N,Withdrawn,-43.0,128.0,0,171,1,90.0,82.0,100.0,9.1953125,5.0,0.0
60,31107,GGG,2014B,409,21,14,19.46875,0,M,South West Region,Lower Than A Level,5.0,35-55,0,30,N,Pass,-47.0,,0,0,0,89.25,72.0,100.0,12.9375,9.0,0.0
61,31161,CCC,2014J,542,21,13,25.8125,1,M,South Region,Post Graduate Qualification,10.0,55<=,0,105,N,Distinction,-43.0,,0,0,0,96.875,89.0,100.0,3.9824219,9.0,0.0
62,31173,DDD,2013J,67,5,12,13.3984375,2,M,North Western Region,A Level or Equivalent,5.0,35-55,1,60,N,Fail,-44.0,,0,0,0,50.15625,22.0,92.0,22.9375,7.0,0.0
63,31205,GGG,2014J,169,8,14,21.125,0,M,East Midlands Region,Lower Than A Level,3.0,35-55,0,30,Y,Fail,-31.0,,0,0,0,90.5,80.0,100.0,11.0,4.0,0.0
64,31269,DDD,2013J,278,19,11,14.6328125,3,F,East Midlands Region,A Level or Equivalent,4.0,35-55,0,120,N,Withdrawn,-53.0,19.0,0,72,1,56.0,45.0,67.0,15.5546875,2.0,0.0
65,31269,DDD,2014B,54,8,11,6.75,3,F,East Midlands Region,A Level or Equivalent,4.0,35-55,1,120,N,Withdrawn,-90.0,73.0,0,163,1,56.0,45.0,67.0,15.5546875,2.0,0.0
66,31296,FFF,2014J,8,3,14,2.6660156,0,M,East Midlands Region,Lower Than A Level,4.0,0-35,1,60,N,Fail,-20.0,,1,0,0,66.0625,38.0,81.0,16.125,12.0,0.0
67,31600,AAA,2014J,90,6,-2,15.0,16,F,South West Region,A Level or Equivalent,5.0,0-35,0,60,N,Pass,-52.0,,0,0,0,54.8125,47.0,64.0,6.3007812,5.0,0.0
68,31604,AAA,2013J,349,13,14,26.84375,0,F,South East Region,A Level or Equivalent,6.0,35-55,0,60,N,Pass,-52.0,,0,0,0,76.0,71.0,88.0,6.890625,5.0,0.0
69,31663,BBB,2013B,727,23,14,31.609375,0,M,North Region,A Level or Equivalent,4.0,35-55,0,60,N,Pass,-60.0,,0,0,0,79.25,15.0,100.0,25.859375,11.0,0.0
70,31849,BBB,2013J,133,5,13,26.59375,1,F,South West Region,Lower Than A Level,7.0,35-55,0,120,N,Pass,-128.0,,0,0,0,78.0,60.0,100.0,15.8203125,11.0,0.0
71,32221,FFF,2013J,150,6,13,25.0,1,M,South Region,A Level or Equivalent,7.0,0-35,0,60,N,Fail,-32.0,,0,0,0,89.625,88.0,94.0,2.6074219,5.0,0.0
72,32239,GGG,2013J,48,6,14,8.0,0,F,London Region,A Level or Equivalent,4.0,0-35,0,30,N,Pass,-78.0,,0,0,0,80.625,55.0,100.0,22.265625,8.0,0.0
73,32327,BBB,2014J,351,7,4,50.15625,10,F,South West Region,Lower Than A Level,3.0,0-35,2,60,N,Withdrawn,-92.0,121.0,0,213,1,31.0,1.0,61.0,42.4375,2.0,0.0
74,32885,AAA,2013J,472,17,13,27.765625,1,F,West Midlands Region,Lower Than A Level,6.0,0-35,0,60,N,Pass,-176.0,,0,0,0,54.40625,30.0,75.0,20.515625,5.0,0.0
75,33387,DDD,2013J,39,4,11,9.75,3,M,Scotland,HE Qualification,2.0,0-35,1,120,N,Withdrawn,-43.0,179.0,0,222,1,59.0,55.0,65.0,5.2929688,3.0,0.0
76,33600,FFF,2013J,162,14,13,11.5703125,1,F,London Region,A Level or Equivalent,5.0,35-55,0,150,N,Withdrawn,-43.0,32.0,0,75,1,84.0,84.0,84.0,,1.0,0.0
77,33666,BBB,2013B,183,7,14,26.140625,0,F,London Region,A Level or Equivalent,2.0,0-35,1,60,N,Withdrawn,-23.0,139.0,1,162,1,78.6875,58.0,100.0,21.015625,4.0,0.0
78,33681,DDD,2013J,93,5,-13,18.59375,27,M,South East Region,A Level or Equivalent,6.0,35-55,2,60,Y,Withdrawn,-151.0,208.0,0,359,1,76.125,63.0,94.0,12.9921875,7.0,0.57128906
79,33681,DDD,2014J,30,2,-4,15.0,18,M,South East Region,A Level or Equivalent,6.0,35-55,3,60,Y,Fail,-29.0,,1,0,0,76.125,63.0,94.0,12.9921875,7.0,0.57128906
80,33796,DDD,2014J,72,3,11,24.0,3,M,East Anglian Region,Lower Than A Level,9.0,35-55,2,60,N,Pass,-51.0,,0,0,0,63.71875,44.0,83.0,13.4609375,7.0,0.0
81,33915,FFF,2013B,448,16,11,28.0,3,F,South East Region,A Level or Equivalent,4.0,0-35,0,60,N,Distinction,-64.0,,0,0,0,91.5,83.0,100.0,5.6171875,12.0,0.0
82,33930,DDD,2013J,129,12,13,10.75,1,F,South West Region,A Level or Equivalent,3.0,0-35,0,90,N,Pass,-143.0,,0,0,0,81.3125,67.0,88.0,7.8398438,6.0,0.0
83,34068,CCC,2014J,74,18,14,4.109375,0,M,Scotland,Lower Than A Level,6.0,0-35,0,30,N,Withdrawn,-74.0,108.0,0,182,1,73.3125,56.0,86.0,15.53125,3.0,0.0
84,34087,DDD,2013J,61,7,12,8.7109375,2,M,South East Region,A Level or Equivalent,7.0,35-55,0,60,Y,Withdrawn,-75.0,169.0,0,244,1,84.4375,83.0,88.0,2.4394531,7.0,0.57128906
85,34087,DDD,2014J,71,9,9,7.890625,5,M,South East Region,A Level or Equivalent,7.0,35-55,1,60,Y,Fail,-107.0,,0,0,0,84.4375,83.0,88.0,2.4394531,7.0,0.57128906
86,34229,BBB,2013B,108,7,13,15.4296875,1,F,Ireland,A Level or Equivalent,1.0,35-55,2,120,N,Pass,-58.0,,0,0,0,88.0,72.0,100.0,12.0078125,9.0,0.0
87,34293,FFF,2014B,365,12,14,30.421875,0,M,West Midlands Region,Lower Than A Level,7.0,0-35,0,60,Y,Withdrawn,-68.0,90.0,0,158,1,74.0,72.0,76.0,2.828125,2.0,0.0
88,34353,BBB,2013B,24,1,7,24.0,7,M,Scotland,A Level or Equivalent,8.0,35-55,0,120,Y,Fail,-16.0,,1,0,0,90.625,73.0,100.0,12.1328125,10.0,0.0
89,34431,BBB,2013B,43,4,14,10.75,0,F,Yorkshire Region,Lower Than A Level,8.0,0-35,0,60,N,Withdrawn,-24.0,27.0,1,51,1,80.0,80.0,80.0,,1.0,0.0
90,34653,DDD,2013J,73,4,9,18.25,5,M,East Midlands Region,Lower Than A Level,4.0,0-35,0,60,N,Fail,-149.0,,0,0,0,49.0,35.0,62.0,13.53125,3.0,0.0
91,34662,BBB,2014J,89,7,11,12.7109375,3,F,South West Region,A Level or Equivalent,7.0,35-55,0,60,N,Withdrawn,-137.0,104.0,0,241,1,34.5,1.0,68.0,47.375,2.0,0.0
92,34731,FFF,2013J,151,6,12,25.171875,2,M,East Anglian Region,A Level or Equivalent,3.0,0-35,0,60,N,Withdrawn,-38.0,136.0,0,174,1,75.6875,72.0,79.0,3.5117188,3.0,0.0
93,34756,BBB,2013B,32,3,11,10.6640625,3,F,East Midlands Region,Lower Than A Level,2.0,0-35,1,150,N,Withdrawn,-43.0,59.0,0,102,1,67.3125,51.0,80.0,14.84375,3.0,0.0
94,34863,BBB,2013B,21,1,2,21.0,12,F,London Region,A Level or Equivalent,6.0,0-35,0,60,N,Pass,-65.0,,0,0,0,73.9375,40.0,100.0,17.34375,11.0,0.0
95,35001,GGG,2013J,11,3,13,3.6660156,1,F,East Midlands Region,Lower Than A Level,8.0,35-55,0,30,N,Fail,-27.0,,1,0,0,75.0,70.0,80.0,7.0703125,2.0,0.0
96,35340,EEE,2014B,129,16,13,8.0625,1,M,South Region,A Level or Equivalent,6.0,0-35,0,60,N,Pass,-51.0,,0,0,0,79.75,56.0,93.0,16.59375,4.0,0.0
97,35355,CCC,2014J,123,14,14,8.7890625,0,M,Wales,Lower Than A Level,1.0,35-55,0,30,N,Withdrawn,-25.0,199.0,1,224,1,75.25,43.0,89.0,14.6796875,9.0,0.0
98,35355,EEE,2013J,238,12,13,19.828125,1,M,Wales,Lower Than A Level,1.0,35-55,0,30,N,Pass,-30.0,,0,0,0,75.25,43.0,89.0,14.6796875,9.0,0.0
99,35502,DDD,2014B,390,18,14,21.671875,0,M,West Midlands Region,HE Qualification,4.0,0-35,0,60,N,Withdrawn,-73.0,37.0,0,110,1,66.0,66.0,66.0,,1.0,0.0
100,35508,CCC,2014J,137,10,6,13.703125,8,M,South West Region,A Level or Equivalent,10.0,0-35,0,30,N,Pass,-44.0,,0,0,0,87.0,76.0,99.0,7.96875,9.0,0.0
101,35508,EEE,2014B,464,15,13,30.9375,1,M,South West Region,A Level or Equivalent,10.0,0-35,0,30,N,Distinction,-50.0,,0,0,0,87.0,76.0,99.0,7.96875,9.0,0.0
102,35544,FFF,2013B,122,9,14,13.5546875,0,M,Wales,A Level or Equivalent,9.0,35-55,0,60,N,Pass,-22.0,,1,0,0,87.5625,76.0,99.0,8.5234375,12.0,0.0
103,35747,FFF,2014J,111,6,13,18.5,1,M,North Western Region,A Level or Equivalent,1.0,35-55,0,120,N,Withdrawn,-15.0,12.0,1,27,1,54.0,54.0,54.0,,1.0,0.0
104,35796,FFF,2014J,439,17,13,25.828125,1,M,Wales,A Level or Equivalent,3.0,0-35,0,60,N,Fail,-66.0,,0,0,0,82.0,82.0,82.0,,1.0,0.0
105,35812,BBB,2013B,13,1,14,13.0,0,F,East Anglian Region,Lower Than A Level,4.0,0-35,0,60,N,Fail,-53.0,,0,0,0,71.0,71.0,71.0,,1.0,0.0
106,35860,FFF,2013B,268,11,13,24.359375,1,M,South West Region,A Level or Equivalent,2.0,0-35,0,60,N,Pass,-60.0,,0,0,0,83.0,73.0,89.0,4.7148438,10.0,0.0
107,36347,FFF,2014B,110,14,13,7.8554688,1,M,North Western Region,Lower Than A Level,2.0,0-35,0,120,N,Pass,-25.0,,1,0,0,67.4375,54.0,84.0,8.9375,11.0,0.0
108,36385,FFF,2013B,548,19,11,28.84375,3,M,West Midlands Region,Lower Than A Level,8.0,0-35,0,120,Y,Withdrawn,-73.0,79.0,0,152,1,70.625,64.0,84.0,7.859375,5.0,0.0
109,37298,FFF,2013B,113,6,11,18.828125,3,M,Ireland,HE Qualification,,0-35,0,120,N,Pass,-31.0,,0,0,0,84.1875,74.0,93.0,5.8125,11.0,0.0
110,37622,BBB,2013J,25,1,-6,25.0,20,F,Scotland,HE Qualification,9.0,0-35,1,120,N,Pass,-46.0,,0,0,0,81.875,62.0,100.0,16.140625,10.0,0.0
111,37652,CCC,2014J,105,6,10,17.5,4,F,London Region,HE Qualification,3.0,35-55,0,50,N,Distinction,-11.0,,1,0,0,98.0,94.0,100.0,2.828125,5.0,0.0
112,38053,AAA,2013J,568,22,14,25.8125,0,M,Wales,A Level or Equivalent,9.0,35-55,0,60,N,Pass,-110.0,,0,0,0,68.0,50.0,79.0,10.9765625,5.0,0.0
113,38234,BBB,2013J,34,5,14,6.8007812,0,F,East Midlands Region,A Level or Equivalent,7.0,0-35,0,60,N,Fail,-117.0,,0,0,0,77.6875,64.0,100.0,11.3828125,7.0,0.0
114,38711,BBB,2014J,32,4,9,8.0,5,M,West Midlands Region,Lower Than A Level,1.0,35-55,0,60,Y,Withdrawn,-43.0,175.0,0,218,1,38.75,1.0,54.0,25.296875,4.0,0.0
115,39208,BBB,2014J,213,14,12,15.2109375,2,F,Wales,A Level or Equivalent,10.0,35-55,0,120,N,Pass,-72.0,,0,0,0,77.375,69.0,100.0,12.8359375,5.0,0.0
116,39411,DDD,2013J,66,6,10,11.0,4,F,West Midlands Region,Lower Than A Level,1.0,0-35,0,60,N,Fail,-36.0,,0,0,0,70.0,70.0,70.0,,1.0,0.0
117,39427,DDD,2013J,10,1,-3,10.0,17,F,South Region,A Level or Equivalent,10.0,0-35,0,60,N,Withdrawn,-37.0,223.0,0,260,1,84.0,84.0,84.0,,1.0,0.0
118,39655,BBB,2013B,87,3,8,29.0,6,F,Scotland,Lower Than A Level,6.0,0-35,0,120,N,Distinction,-22.0,,1,0,0,83.0625,60.0,100.0,12.6875,11.0,0.0
119,39660,DDD,2014B,253,21,14,12.046875,0,F,North Western Region,Lower Than A Level,1.0,0-35,0,120,N,Fail,-40.0,,0,0,0,64.5,11.0,85.0,35.875,4.0,0.0
120,39882,FFF,2014B,62,3,7,20.671875,7,F,Scotland,A Level or Equivalent,9.0,0-35,1,120,N,Pass,-26.0,,1,0,0,78.4375,65.0,90.0,10.0,11.0,0.0
121,40184,DDD,2013J,299,22,14,13.59375,0,M,Wales,HE Qualification,4.0,55<=,0,60,N,Distinction,-106.0,,0,0,0,93.6875,85.0,100.0,5.28125,7.0,0.0
122,40333,CCC,2014B,144,13,13,11.078125,1,M,North Region,HE Qualification,1.0,35-55,0,30,N,Withdrawn,-30.0,17.0,0,47,1,,,,,,
123,40419,DDD,2013B,84,4,5,21.0,9,M,East Midlands Region,Lower Than A Level,3.0,35-55,0,60,N,Withdrawn,-46.0,171.0,0,217,1,71.5625,53.0,86.0,9.5,9.0,0.0
124,40419,DDD,2013J,9,1,-12,9.0,26,M,East Midlands Region,Lower Than A Level,3.0,35-55,1,60,N,Pass,-57.0,,0,0,0,71.5625,53.0,86.0,9.5,9.0,0.0
125,40508,EEE,2013J,91,5,5,18.203125,9,M,West Midlands Region,A Level or Equivalent,5.0,35-55,0,90,N,Withdrawn,-101.0,1.0,0,102,1,,,,,,
126,40563,DDD,2013J,175,13,13,13.4609375,1,F,South East Region,A Level or Equivalent,1.0,0-35,0,60,N,Pass,-43.0,,0,0,0,71.125,49.0,97.0,20.09375,7.0,0.0
127,40604,CCC,2014B,117,16,11,7.3125,3,M,Ireland,A Level or Equivalent,,35-55,0,30,N,Pass,-17.0,,1,0,0,68.3125,37.0,90.0,18.515625,7.0,0.0
128,40857,FFF,2014J,145,6,3,24.171875,11,F,North Western Region,A Level or Equivalent,4.0,0-35,0,120,Y,Withdrawn,-89.0,108.0,0,197,1,86.0,86.0,86.0,,1.0,0.0
129,40878,FFF,2014J,330,13,13,25.390625,1,M,North Western Region,Lower Than A Level,1.0,0-35,0,120,N,Distinction,-86.0,,0,0,0,90.5625,76.0,97.0,5.484375,12.0,0.0
130,41060,DDD,2013B,45,4,4,11.25,10,M,Ireland,HE Qualification,8.0,0-35,0,60,N,Fail,-24.0,,1,0,0,82.8125,56.0,97.0,13.2890625,11.0,0.0
131,41414,GGG,2014B,139,10,9,13.8984375,5,F,West Midlands Region,Lower Than A Level,1.0,0-35,0,30,Y,Pass,-12.0,,1,0,0,80.0,40.0,100.0,23.234375,9.0,0.0
132,41489,FFF,2014B,43,4,10,10.75,4,F,East Anglian Region,Lower Than A Level,3.0,0-35,0,60,N,Fail,-75.0,,0,0,0,,,,,,
133,41547,BBB,2014J,175,8,12,21.875,2,F,Yorkshire Region,A Level or Equivalent,5.0,0-35,0,60,N,Pass,-87.0,,0,0,0,61.59375,25.0,100.0,30.09375,5.0,0.0
134,42552,FFF,2014J,677,20,12,33.84375,2,F,East Anglian Region,A Level or Equivalent,9.0,0-35,0,90,N,Pass,-150.0,,0,0,0,71.0,57.0,84.0,8.1484375,12.0,0.0
135,42616,FFF,2013J,424,14,13,30.28125,1,F,Scotland,Lower Than A Level,9.0,35-55,0,60,N,Pass,-33.0,,0,0,0,80.25,67.0,89.0,6.890625,12.0,0.0
136,42638,CCC,2014B,398,21,14,18.953125,0,M,Scotland,HE Qualification,10.0,35-55,0,60,N,Pass,-52.0,,0,0,0,72.375,50.0,86.0,12.546875,13.0,0.0
137,42638,EEE,2013J,851,18,14,47.28125,0,M,Scotland,HE Qualification,10.0,35-55,0,60,N,Pass,-39.0,,0,0,0,72.375,50.0,86.0,12.546875,13.0,0.0
